Region,Country,Location,Longitude,Latitude,Source,Primary Reason for Exclusion,Additional Information,Reference(s),,,,,,,,,
North America ,USA,Florida: Miami-Dade County (only April results; June results are unreliable),NA,NA,SeroTracker,advanced economy,insufficient information about sample design; research pause due to issues with its assay,https://umiamihealth.org/en/coronavirus/spark-c ,https://www.aaci-cancer.org/Files/Admin/Annual-Meeting/Presentations/Kobetz.pdf,"issues with antibody test, ""Community-Based Testing Program"":  https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7545514/","population fatality rate of >0.22%:  https://coronavirus.jhu.edu/us-map  ,  ",https://news.miami.edu/stories/2020/04/sylvester-researchers-to-collaborate-with-miami-dade-county-on-coronavirus-testing.html,outdated: https://www.miamidade.gov/releases/2020-04-24-sample-testing-results.asp,,,,
North America ,USA,Georgia (Vu study),NA,NA,MedRxiv,advanced economy,,https://www.medrxiv.org/content/10.1101/2021.05.06.21256407v1.full,,,,,,,,,
North America ,USA,Georgia: DeKalb and Fulton Counties,NA,NA,SeroTracker,advanced economy,,https://www.cdc.gov/mmwr/volumes/69/wr/mm6929e2.htm,,,,,,,,,
North America ,USA,Indiana,NA,NA,SeroTracker,advanced economy,,https://www.cdc.gov/mmwr/volumes/69/wr/mm6929e1.htm,https://www.pnas.org/content/118/5/e2013906118.short,https://www.medrxiv.org/content/10.1101/2020.10.11.20210922v1.full?versioned=true,https://www.acpjournals.org/doi/full/10.7326/M20-5352,https://news.iu.edu/stories/2020/06/iupui/releases/17-fairbanks-isdh-second-phase-covid-19-testing-indiana-research.html,https://fsph.iupui.edu/coronavirus/covid-19-random-sample-study.html,https://www.pnas.org/content/118/9/e2026412118,,,
North America ,USA,Kentucky: Jefferson County,NA,NA,SeroTracker,advanced economy,insufficient information about assay,https://www.uoflnews.com/post/uofltoday/co-immunity-project-shows-covid-19-infection-rate-in-jefferson-county-increased-tenfold-since-september/,https://louisville.edu/medicine/news/phase-ii-results-of-co-immunity-project-show-higher-than-expected-rates-of-exposure-to-novel-coronavirus-in-jefferson-county,https://twitter.com/GidMK/status/1287514523549671424,https://www.uoflnews.com/post/uofltoday/second-round-of-co-immunity-project-tests-shows-increasing-rates-of-covid-19-infections-in-jefferson-county/,https://www.facebook.com/WHAS11/videos/watch-live-mayor-greg-fischer-dr-sarah-moyer-and-members-of-uofls-co-immunity-pr/707426856486337/,https://louisville.edu/envirome/thecoimmunityproject/communitystudy,3 different antibody tests used: https://co-immunityproject.com/,https://www.westat.com/project/supporting-university-louisville-estimating-rate-coronavirus-infection-jefferson-county,https://www.westat.com/articles/westat-partners-university-louisville-covid-19-antibody-testing,
North America ,USA,Louisiana: 4 parishes near Baton Rouge,NA,NA,SeroTracker,advanced economy,,https://wwwnc.cdc.gov/eid/article/27/1/20-3808_article,https://www.medrxiv.org/content/10.1101/2020.08.26.20180968v1,,,,,,,,
North America ,USA,Louisiana: Jefferson and Orleans Parishes,NA,NA,SeroTracker,advanced economy,,https://wwwnc.cdc.gov/eid/article/26/11/20-3029_article,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3633166,https://www.medrxiv.org/content/10.1101/2020.06.23.20138321v1,,,,,,,
North America ,USA,Massachusetts: Boston (districts),NA,NA,Google,advanced economy,insufficient information about sample design,https://www.boston.gov/news/results-released-antibody-and-covid-19-testing-boston-residents,https://www.wbur.org/commonhealth/2020/05/15/boston-coronavirus-antibody-testing,,,,,,,,
North America ,USA,Massachusetts: Holyoke,NA,NA,SeroTracker,advanced economy,,https://www.holyoke.org/documents/city-of-holyoke-serosurvey-report/,https://globalhealth.massgeneral.org/holyoke-covid-19-community-antibody-study-takeaways-an-interview-with-ryan-paxton-mph/,,,,,,,,
North America ,USA,Missouri: St. Louis,NA,NA,Google,advanced economy,insufficient information about assay,https://stlcorona.com/news/media-advisory-112320/,from 6:12  :  https://www.facebook.com/CountyExecutiveSamPage/videos/3239818066123836/?notif_id=1606141894419469&notif_t=live_video_explicit&ref=notif,https://stlouiscountymo.gov/test/county-executive1/county-executive-press-releases/stl-county-covid-19-survey/,https://infectiousdiseases.wustl.edu/washington-university-st-louis-county-collaborate-on-covid-19-survey/,,,,,,
North America ,USA,Nevada: Washoe County,NA,NA,SeroTracker,advanced economy,,https://www.washoecounty.us/outreach/2020/07/2020-07-08-jic-update-0708.php,https://www.washoecounty.us/health/files/ephp/communicable-diseases/Seroprevalence_7.7.2020_FINAL.pdf,assay:  https://www.silversummithealthplan.com/content/dam/centene/Nevada/Medicaid/PDFs/COVID-19%20Testing%20Strategy.pdf [with: https://med.unr.edu/news/archive/2020/nsphl-antibody-testing ],,,,,,,
North America ,USA,New Jersey: Essex County,NA,NA,SeroTracker,advanced economy,,https://www.medrxiv.org/content/10.1101/2021.03.02.21252766v1.full-text,https://www.newswise.com/coronavirus/rutgers-launches-covid-19-seroprevalence-study-in-essex-county,https://nj1015.com/study-of-nj-shoppers-suggests-covid-tests-reveal-half-the-spread/,,,,,,,
North America ,USA,New York state,NA,NA,SeroTracker,advanced economy,non-representative sample: sampling shoppers,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7297691/,https://www.governor.ny.gov/news/amid-ongoing-covid-19-pandemic-governor-cuomo-announces-results-completed-antibody-testing,video from 7:56 to 10:31 : https://www.governor.ny.gov/news/governor-cuomo-announces-us-open-be-held-without-fans-august-31st-september-13th,http://archive.is/jrri5,,,,,,
North America ,USA,"New York City (only returned samples, not self-reported samples)",NA,NA,SeroTracker,advanced economy,,https://academic.oup.com/jid/advance-article/doi/10.1093/infdis/jiab296/6292145,,,,,,,,,
North America ,USA,Ohio,NA,NA,Google,advanced economy,,include all 39 seropositives in seroprevalence to address seroreversion: https://www.pnas.org/content/118/26/e2023947118,https://arxiv.org/abs/2011.09033,https://coronavirus.ohio.gov/static/dashboards/prevalence-covid19-ohioadults.pdf,https://u.osu.edu/ocap/,https://u.osu.edu/ocap/faqs/,,,,,
North America ,USA,Rhode Island,NA,NA,SeroTracker,advanced economy,,https://ajph.aphapublications.org/doi/10.2105/AJPH.2020.306115  (  https://scholar.google.com/scholar?hl=en&as_sdt=0%2C36&q=%E2%80%9CAs+of+May+31%2C+Rhode+Island+had+reported+827+cumulative+lab-confirmed%E2%80%9D&btnG=  ),slide 6: https://ri-department-of-health-covid-19-response-demogr-a3f82-rihealth.hub.arcgis.com/,https://www.ri.gov/press/view/38594,https://twitter.com/RIHEALTH/status/1288119090859479042,https://twitter.com/RIHEALTH/status/1272134777785798657,,,,,
North America ,USA,"Texas: Dallas, Tarrant Counties",NA,NA,Google,advanced economy,insufficient information about assay,https://s3-us-west-2.amazonaws.com/utsw-patientcare-web-production/documents/DFWCPS_Update_01.12.21_EN_1_Pager.pdf,https://utswmed.org/covidstudy/updates/,https://utswmed.org/covidstudy/,https://utswmed.org/prevalence-study/,https://dallascounty.civicweb.net/document/647753/DFW%20COVID-19%20Community%20Prevalence%20Study.pdf?handle=C3700473AA274792B9E7458073691F38,https://www.utsouthwestern.edu/newsroom/articles/year-2020/dfw-covid-prevalence-study.html,,,,
North America ,USA,Texas: Harris County,NA,NA,SeroTracker,advanced economy,insufficient information about assay,https://publichealth.harriscountytx.gov/Portals/27/Documents/HCPH%20Antibody%20Results%20NR.pdf?ver=ZkoB5qeX0P1G--8gfGH8fg%3d%3d,https://twitter.com/hcphtx/status/1327299711120928774,,"https://twitter.com/hcphtx  ,  https://covid-harriscounty.hub.arcgis.com/pages/cumulative-data",,,,,,
North America ,USA,Texas: Houston,NA,NA,SeroTracker,advanced economy,,https://academic.oup.com/jid/advance-article/doi/10.1093/infdis/jiab203/6258999,https://kinder.rice.edu/houston-health-department-antibody-testing-survey,https://news.rice.edu/2020/12/14/antibody-study-suggests-covid-19-infections-underestimated/,http://www.houstontx.gov/health/NewsReleases/houstons-covid-19-infection-rate-could-be-four-times-higher.html,https://kinder.rice.edu/urbanedge/2020/09/17/Covid-19-antibody-testing-Houston-health,https://houstonemergency.org/covid-19-antibody-testing-survey/,,,,
North America ,USA,"Utah: Cache County, Washington county, etc.",NA,NA,Google,advanced economy,,"pages 6, 11, 12, 27 - 30: https://issuu.com/ecclesschool/docs/utah_hero_report_11.24.20_gardner_at_front",https://issuu.com/ecclesschool/docs/herosheet_nov2020_final,,,,,,,,
North America ,USA,"Utah: Davis, Salt Lake, Summit, and Utah counties",NA,NA,SeroTracker,advanced economy,,https://wwwnc.cdc.gov/eid/article/27/11/20-4435_article,"pages 6, 14, 15, 19-23: https://issuu.com/ecclesschool/docs/utah_hero_report_11.24.20_gardner_at_front",https://www.medrxiv.org/content/10.1101/2020.10.26.20219907v1,https://www.youtube.com/watch?v=1MLVb26qfEI&t=1937 ,https://www.medrxiv.org/content/10.1101/2021.01.29.20248797v1.full-text,https://www.aruplab.com/news/6-29-2020/Utah-hero-project,https://healthcare.utah.edu/publicaffairs/news/2020/07/utah-hero-project-phase-1.php,https://gomb.utah.gov/wp-content/uploads/2020/06/HERO-Project-Phase-One-Briefing.pdf,,
North America ,USA,Utah: Provo (in Utah County) + West Salt Lake region (phase 2) +  Salt Lake County (phase 3),NA,NA,Google,advanced economy,,from 8:37 to 10:14 :  https://eccles.utah.edu/utah-hero/,,,,,,,,,
North America ,USA,Vermont (northwestern region),NA,NA,SeroTracker,advanced economy,non-representative sample,https://publichealth.jmir.org/2021/1/e24320/,https://www.med.uvm.edu/com/news/2021/01/19/van_den_broek-altenburg_colleagues_report_that_without_messaging_masks_could_lead_to_more_covid-19_spread,,,,,,,,
North America ,USA,Washington: King County (random sample only),NA,NA,SeroTracker,advanced economy,,https://www.kingcounty.gov/depts/health/covid-19/data/~/media/depts/health/communicable-diseases/documents/C19/serosurvey-summary-covid19.ashx,https://www.kingcounty.gov/depts/health/covid-19/data/~/media/depts/health/communicable-diseases/documents/C19/serosurvey-report-covid19.ashx,https://kingcounty.gov/depts/health/covid-19/seroprevalence.aspx,https://www.kingcounty.gov/depts/health/covid-19/seroprevalence-study.aspx,page 9: http://www.co.cowlitz.wa.us/DocumentCenter/View/20793/8122020-Cowlitz-County-COVID-update-to-Board-of-County-Commissioners,,,,,
North America ,USA,Wisconsin,NA,NA,SeroTracker,advanced economy,,https://www.medrxiv.org/content/10.1101/2020.12.18.20248479v1,https://www.medrxiv.org/content/10.1101/2021.03.15.21253478v1.full-text,https://www.wisbusiness.com/2020/uw-health-statewide-study-suggests-about-1-6-of-the-state-had-covid-19-antibodies-in-july/,https://www.med.wisc.edu/news-and-events/2020/december/wisconsin-data-show-recent-covid-infection-surge/,https://www.dhs.wisconsin.gov/news/releases/061720.htm,data request form: https://show.wisc.edu/our-data/accessing-data/,data access: https://show.wisc.edu/covid-19/covid-19-projects/covid-19-public-use-data/,,,
Americas,Puerto Rico,national,NA,NA,SeroTracker,advanced economy,,https://sites.google.com/view/casperpr/an%C3%A1lisis-y-resultados?authuser=0,page 4: https://issuu.com/vocero.com/docs/v12262020,https://www.cienciapr.org/en/external-news/inicia-el-primer-estudio-de-seroprevalencia-del-covid-19-en-puerto-rico,https://www.facebook.com/PRPublicHealthTrust/videos/salud-p%C3%BAblica-al-mediod%C3%ADa-18-de-noviembre-de-2020/898964470649725/,,,,,,
Latin America,Bolivia,Chuquisaca,-64.45,-20,Google,insufficient information about sample design,,https://www.facebook.com/radioencuentrosucre/videos/seg%C3%BAn-estudio-de-prevalencia-del-covid-19-en-el-departamento-chuquisaca-esta-con/1075186426251521/,https://ar-ar.facebook.com/GADCH1/videos/1672282426287538/,https://correodelsur.com/local/20201022_en-chuquisaca-27-de-cada-100-personas-se-infectaron-de-covid-19.html,https://www.minsalud.gob.bo/4818-covid-19-estudio-de-seroprevalencia-se-realiza-en-12-municipios-de-chuquisaca,,,,,,
Latin America,Bolivia,Potosí,-66.67,-20.67,Google,insufficient information about assay,,https://www.youtube.com/watch?v=YhrxQV026IE,https://www.facebook.com/521793244850336/videos/924582051379606/,https://ms-my.facebook.com/AzucenaFuertesPotosi/videos/webinar/4154134014657535/,,,,,,,
Latin America,Brazil,National (including 23 subnational studies),-52,-10,SeroTracker,use of unreliable assay,,https://iris.paho.org/bitstream/handle/10665.2/52948/v44e1352020.pdf?sequence=1&isAllowed=y,https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(20)30387-9/fulltext,,,,,,,,
Latin America,Brazil,Ceará: Fortaleza,NA,NA,SeroTracker,insufficient information about assay,,https://www.fortaleza.ce.gov.br/images/COVID_INQU%C3%89RITO_19062020.pdf,https://www.cmfor.ce.gov.br/2020/06/22/covid-19-370-mil-pessoas-imunes-e-queda-do-numero-de-obitos-sao-divulgados-em-estudo-da-sms-e-sesa/,WONDFO assay likely used:  https://www.ceara.gov.br/2020/06/19/pesquisa-estima-que-370-mil-fortalezenses-ja-tem-anticorpos-contra-covid-19/,,,,,,,
Latin America,Brazil,Espírito Santo,NA,NA,SeroTracker,use of unreliable assay,,https://saude.es.gov.br/Inquerito_Sorologico,https://www.al.es.gov.br/appdata/anexos_internet/portal/conteudo/documentos/com_saude/2020/Resultados_inquerito_fase_2_etapa_1.3.8.pdf,https://saude.es.gov.br/Media/sesa/coronavirus/Inqu%C3%A9rito%20Sorol%C3%B3gico/SESA%20ASSCOM%20Fase%201%20Inquerito%20Sorologico.pptx,https://www.medrxiv.org/content/10.1101/2020.06.13.20130559v1,INQUÉRITO SOROLÓGICO on pages 21 - 24: https://saude.es.gov.br/Media/sesa/coronavirus/Boletins/Boletim%20Covid-19_06.pdf,https://saude.es.gov.br/Media/sesa/coronavirus/Notas%20T%C3%A9cnicas/NOTA%20TE%CC%81CNICA%20COVID.19%20N.%2043.20.%20Relat%C3%B3rio%20do%20inqu%C3%A9rito%20sorol%C3%B3gico%20do%20ES.pdf,INQUÉRITO SOROLÓGICO on pages 20 - 24: https://saude.es.gov.br/Media/sesa/coronavirus/Boletins/Boletim%20Covid-19_07.pdf,,,
Latin America,Brazil,Goiás: Anápolis,NA,NA,Google,use of unreliable assay,,http://www.anapolis.go.gov.br/portal/arquivos/files/Nota%20T%C3%A9cnica%20_%20preliminar%20_%20Inqu%C3%A9rito%20Epidemiol%C3%B3gico%20-%20COVID%20-15%20%2006.pdf,,,,,,,,,
Latin America,Brazil,Goiás: Goiânia,NA,NA,SeroTracker,insufficient information about assay,,correct numbering of phases: https://www.youtube.com/watch?v=Cy0Y9q802DM&t=2858s,https://www.goiania.go.gov.br/inquerito-aponta-que-1-das-pessoas-ja-tiveram-covid-19-em-goiania/,WONDFO: https://ar-ar.facebook.com/prefeitura.goiania/videos/259453655240449/,,,,,,,
Latin America,Brazil,Goiás: Quirinópolis,NA,NA,Google,non-representative sample,,https://ohirjournal.com/article/view/4206,http://www.ueg.br/noticia/55281,,,,,,,,
Latin America,Brazil,Pará,NA,NA,Google,insufficient information about assay,,https://agenciapara.com.br/noticia/21191/,WONDFO:  https://agenciapara.com.br/noticia/20623/,https://g1.globo.com/pa/para/noticia/2020/07/31/pesquisa-epidemiologica-aponta-que-mais-de-21percent-da-populacao-em-52-municipios-paraenses-ja-foi-infectada-com-coronavirus.ghtml,,,,,,,
Latin America,Brazil,Paraíba,NA,NA,Google,insufficient information about assay,,https://paraiba.pb.gov.br/noticias/relatorio-final-do-inquerito-sorologico-aponta-que-10-da-populacao-ja-teve-contato-com-o-coronavirus,https://paraiba.pb.gov.br/noticias/continuar-cuidando-relatorio-preliminar-aponta-que-9-3-dos-paraibanos-ja-foram-infectados-pelo-coronavirus,https://paraiba.pb.gov.br/noticias/secretaria-de-saude-inicia-inquerito-sorologico-em-130-cidades-da-paraiba,https://paraiba.pb.gov.br/noticias/continuar-cuidando-pesquisa-inicia-coletas-da-ultima-semana-de-inquerito-nesta-sexta-feira,WONDFO assay likely used:  https://paraiba.pb.gov.br/noticias/governo-distribui-mais-45-2-mil-testes-para-todos-os-municipios-paraibanos,possible antibody test:  https://paraiba.pb.gov.br/noticias/paraiba-comeca-a-realizar-testes-rapidos-na-populacao-na-sexta-feira,João Pessoa trial phase: https://www.joaopessoa.pb.gov.br/?s=soropreval%C3%AAncia,,,
Latin America,Brazil,Pernambuco: Fernando de Noronha,NA,NA,SeroTracker,use of unreliable assay,,https://www.medrxiv.org/content/10.1101/2020.10.22.20216010v1.full-text,https://www2.camara.leg.br/atividade-legislativa/comissoes/comissoes-temporarias/externas/56a-legislatura/enfrentamento-pandemia-covid-19/apresentacoes-em-eventos/PauloGoesUFPE.pdf/view,from 49:04 - 1:03:44 : https://www.youtube.com/watch?t=3&v=UXKsj5H1lCg,,,,,,,
Latin America,Brazil,Piauí,NA,NA,Google,use of unreliable assay,,https://www.pi.gov.br/wp-content/uploads/2020/07/9_ONDA_APR_COV_PDF.pdf,https://www.pi.gov.br/noticias/taxa-de-transmissibilidade-do-coronavirus-cai-de-087-para-074-no-piaui/,https://www.pi.gov.br/wp-content/uploads/2020/07/Inqu%C3%A9rito-Soroepidemiol%C3%B3gico-30-06.pdf,,,,,,,
Latin America,Brazil,Piauí: Bom Jesus,NA,NA,SeroTracker,insufficient information about assay,,https://portalpontox.com/wp-content/uploads/2020/06/PESQUISA-BOM-JESUS-COVID-24a26-06.2020.pdf,,,,,,,,,
Latin America,Brazil,Piauí: Teresina municipality,NA,NA,SeroTracker,use of unreliable assay,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7341829/,,,,,,,,,
Latin America,Brazil,Rio de Janeiro state: Rio de Janeiro city,NA,NA,Google,insufficient information about assay,,https://prefeitura.rio/saude/prefeitura-divulga-resultado-da-primeira-etapa-de-pesquisa-sobre-covid-19-em-comunidades-cariocas/,https://www.arcgis.com/home/webmap/viewer.html?webmap=85865c2d8bdf423d946f026e634d7155,https://prefeitura.rio/rio-faz/prefeitura-do-rio-inicia-quarta-etapa-da-testagem-para-covid-19-em-comunidades-cariocas/,possible assay used:  https://prefeitura.rio/cidade/coronavirus-veja-as-medidas-adotadas-pela-prefeitura-do-rio-de-janeiro-nesta-sexta-feira-28-08-contra-a-pandemia/,possible assay used:  https://prefeitura.rio/cidade/prefeitura-do-rio-inicia-a-terceira-etapa-do-teste-rapido-para-covid-19-em-comunidades/,,,,,
Latin America,Brazil,Rio Grande do Sul: Lajeado,NA,NA,SeroTracker,use of unreliable assay,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7493765/,,,,,,,,,
Latin America,Brazil,Santa Catarina: Joinville,NA,NA,SeroTracker,use of unreliable assay,,https://www.medrxiv.org/content/10.1101/2021.02.08.21251009v1.full,,,,,,,,,
Latin America,Brazil,São Paulo state: Atibaia,NA,NA,Google,insufficient information about assay,,http://www.prefeituradeatibaia.com.br/noticia/saude-visita-residencias-estudo-covid/,http://www.prefeituradeatibaia.com.br/noticia/segunda-etapa-estudo-covid/,,,,,,,,
Latin America,Brazil,São Paulo state: Cajamar,NA,NA,SeroTracker,non-representative sample,sampling shoppers,https://cajamar.sp.gov.br/noticias/2020/08/12/secretaria-de-saude-divulga-balanco-da-pesquisa-de-busca-ativa-de-anticorpos-para-sars-cov-2/,https://cajamar.sp.gov.br/noticias/2020/07/02/pesquisa-de-soroprevalencia-da-covid-19-fara-a-segunda-fase-de-exames-em-cajamar-e-regiao/,,,,,,,,
Latin America,Brazil,São Paulo state: Campinas,NA,NA,SeroTracker,use of unreliable assay,,https://covid-19.campinas.sp.gov.br/sites/covid-19.campinas.sp.gov.br/files/pesquisas/I-Inquerito-soroepidemiologico-covid-19-campinas-2020.pdf,https://covid-19.campinas.sp.gov.br/prefeitura-de-campinas-apresenta-segundo-inqu-rito-sorol-gico-da-covid-19,from 23:41 - 53:38 : https://www.youtube.com/watch?v=ZK4VX1QqUCU&t=1421s,,,,,,,
Latin America,Brazil,São Paulo state: Ribeirão Preto,NA,NA,SeroTracker,use of unreliable assay,,https://www.scielo.br/j/rsbmt/a/Yq5z8RHzZsJXHR5XwsnjTgh/?lang=en,,,,,,,,,
Latin America,Brazil,São Paulo state: São Carlos,NA,NA,Google,insufficient information about assay,,https://www.sciencedirect.com/science/article/pii/S1413867020302890?via%3Dihub,https://digitalposter.com.br/infectologia-paulista/aula.php?id=102,pages 18 - 19: http://servicos.saocarlos.sp.gov.br/licitacao/arquivos-resumos/06-08-2020-06:09:20-pm-8890-2215--Resumo-.pdf,,,,,,,
Latin America,Brazil,"São Paulo state: São Paulo city, Baixada Santista Metropolitan Area",NA,NA,SeroTracker,use of unreliable assay,,https://preprints.scielo.org/index.php/scielo/preprint/view/1270,https://www.medrxiv.org/content/10.1101/2020.08.28.20184010v1,https://www.unifesp.br/reitoria/dci/releases/item/4570-estudo-inedito-reune-dados-sobre-sars-cov-2-na-baixada-santista,https://www.santos.sp.gov.br/static/files_www/files/portal_files/epicobs-resultados-fase-1-preliminares-04-05-20_3.pdf,,,,,,
Latin America,Brazil,Sergipe,NA,NA,SeroTracker,use of unreliable assay,,https://doi.org/10.1017/S0950268821001163,https://www.researchgate.net/publication/350976274_Evolucao_da_Prevalencia_de_Infeccao_por_SARS-CoV-2_em_Sergipe_Resultados_da_Terceira_Fase_18_de_fevereiro_a_30_de_marco_de_2021,OUTDATED: http://radioufs.ufs.br/conteudo/65751-ufs-apresenta-resultados-da-primeira-fase-de-testes-da-covid-19-no-ambito-do-projeto-episergipe,OUTDATED: http://radioufs.ufs.br/uploads/content_attach/path/30299/Nota_T_cnica_1a_Fase_do_EpiSergipe_20_08.pdf,OUTDATED: http://www.ufs.br/conteudo/66456-ufs-apresenta-resultados-da-segunda-fase-de-testes-da-covid-19-no-ambito-do-projeto-episergipe,OUTDATED: http://www.ufs.br/conteudo/66971-projeto-episergipe-conclui-terceira-fase-de-testes-da-covid-19-em-15-municipios,,,,
Latin America,Brazil,Sergipe: 10 most populous cities,NA,NA,SeroTracker,non-representative sample,sampling shoppers,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7541966/,,,,,,,,,
