location,region,country,source,reason(s) for exclusion,citations,,,,,,,,,
Colorado: San Miguel County,North America ,USA,SeroTracker,"advanced economy, insufficient information on assay",http://web.archive.org/web/20200727075113/https://www.sanmiguelcountyco.gov/CivicAlerts.aspx?AID=586,https://www.sanmiguelcountyco.gov/DocumentCenter/View/5764/Antibody-Blood-Test-Final-Numbers-English-PNG?bidId= ,https://www.sanmiguelcountyco.gov/DocumentCenter/View/5717/San-Miguel-County-IgG-Antibody-Test-Statistics-and-Demographics-PDF?bidId=,,,,,,,
Connecticut,North America ,USA,SeroTracker,advanced economy,https://www.amjmed.com/article/S0002-9343(20)30909-8/fulltext,https://www.medrxiv.org/content/10.1101/2020.10.30.20223461v1,https://www.amjmed.com/article/S0002-9343(21)00099-1/fulltext,,,,,,,
Florida: Miami-Dade County (only April results; June results are unreliable),North America ,USA,SeroTracker,"advanced economy, insufficient evidence of representative sampling, research pause due to issues with its assay",https://umiamihealth.org/en/coronavirus/spark-c ,https://www.aaci-cancer.org/Files/Admin/Annual-Meeting/Presentations/Kobetz.pdf,"issues with antibody test, ""Community-Based Testing Program"":  https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7545514/","population fatality rate of >0.22%:  https://coronavirus.jhu.edu/us-map  ,  ",https://news.miami.edu/stories/2020/04/sylvester-researchers-to-collaborate-with-miami-dade-county-on-coronavirus-testing.html,outdated: https://www.miamidade.gov/releases/2020-04-24-sample-testing-results.asp,,,,
Georgia (COVIDVu study),North America ,USA,MedRxiv,advanced economy,https://doi.org/10.1093/infdis/jiab522,https://www.medrxiv.org/content/10.1101/2021.05.06.21256407v1.full,,,,,,,,
Georgia: DeKalb and Fulton Counties,North America ,USA,SeroTracker,advanced economy,https://www.cdc.gov/mmwr/volumes/69/wr/mm6929e2.htm,,,,,,,,,
Indiana,North America ,USA,SeroTracker,advanced economy,https://www.cdc.gov/mmwr/volumes/69/wr/mm6929e1.htm,https://www.pnas.org/content/118/5/e2013906118.short,https://www.medrxiv.org/content/10.1101/2020.10.11.20210922v1.full?versioned=true,https://www.acpjournals.org/doi/full/10.7326/M20-5352,https://news.iu.edu/stories/2020/06/iupui/releases/17-fairbanks-isdh-second-phase-covid-19-testing-indiana-research.html,https://fsph.iupui.edu/coronavirus/covid-19-random-sample-study.html,https://www.pnas.org/content/118/9/e2026412118,,,
Kentucky: Jefferson County,North America ,USA,SeroTracker,"advanced economy, insufficient information on assay",https://www.uoflnews.com/post/uofltoday/co-immunity-project-shows-covid-19-infection-rate-in-jefferson-county-increased-tenfold-since-september/,https://louisville.edu/medicine/news/phase-ii-results-of-co-immunity-project-show-higher-than-expected-rates-of-exposure-to-novel-coronavirus-in-jefferson-county,https://twitter.com/GidMK/status/1287514523549671424,https://www.uoflnews.com/post/uofltoday/second-round-of-co-immunity-project-tests-shows-increasing-rates-of-covid-19-infections-in-jefferson-county/,https://www.facebook.com/WHAS11/videos/watch-live-mayor-greg-fischer-dr-sarah-moyer-and-members-of-uofls-co-immunity-pr/707426856486337/,https://louisville.edu/envirome/thecoimmunityproject/communitystudy,3 different antibody tests used: https://co-immunityproject.com/,https://www.westat.com/project/supporting-university-louisville-estimating-rate-coronavirus-infection-jefferson-county,https://www.westat.com/articles/westat-partners-university-louisville-covid-19-antibody-testing,
Louisiana: 4 parishes near Baton Rouge,North America ,USA,SeroTracker,advanced economy,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0260164,https://wwwnc.cdc.gov/eid/article/27/1/20-3808_article,https://www.medrxiv.org/content/10.1101/2020.08.26.20180968v1,,,,,,,
Louisiana: Jefferson and Orleans Parishes,North America ,USA,SeroTracker,advanced economy,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0260164,https://wwwnc.cdc.gov/eid/article/26/11/20-3029_article,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3633166,https://www.medrxiv.org/content/10.1101/2020.06.23.20138321v1,,,,,,
Massachusetts: Boston (districts),North America ,USA,Google,"advanced economy, insufficient evidence of representative sampling",https://www.boston.gov/news/results-released-antibody-and-covid-19-testing-boston-residents,https://www.wbur.org/commonhealth/2020/05/15/boston-coronavirus-antibody-testing,,,,,,,,
Massachusetts: Holyoke,North America ,USA,SeroTracker,advanced economy,https://www.medrxiv.org/content/10.1101/2021.10.13.21264975v1,https://www.holyoke.org/documents/city-of-holyoke-serosurvey-report/,https://globalhealth.massgeneral.org/holyoke-covid-19-community-antibody-study-takeaways-an-interview-with-ryan-paxton-mph/,,,,,,,
Missouri: St. Louis,North America ,USA,Google,"advanced economy, insufficent information on seroprevalence from probability sample",https://www.sciencedirect.com/science/article/pii/S1047279722000369,https://web.archive.org/web/20201219174526/https://stlcorona.com/news/media-advisory-112320/,from 6:12  :  https://www.facebook.com/CountyExecutiveSamPage/videos/3239818066123836/?notif_id=1606141894419469&notif_t=live_video_explicit&ref=notif,https://internalmedicine.wustl.edu/st-louis-county-announces-results-of-covid-19-prevalence-testing/,https://archive.md/NvgLH,https://infectiousdiseases.wustl.edu/washington-university-st-louis-county-collaborate-on-covid-19-survey/,,,,
Nevada: Washoe County,North America ,USA,SeroTracker,advanced economy,https://www.washoecounty.us/outreach/2020/07/2020-07-08-jic-update-0708.php,https://www.washoecounty.us/health/files/ephp/communicable-diseases/Seroprevalence_7.7.2020_FINAL.pdf,assay:  https://www.silversummithealthplan.com/content/dam/centene/Nevada/Medicaid/PDFs/COVID-19%20Testing%20Strategy.pdf [with: https://med.unr.edu/news/archive/2020/nsphl-antibody-testing ],,,,,,,
New Jersey: Essex County,North America ,USA,SeroTracker,"advanced economy, non-representative sample (sampling shoppers)",https://www.medrxiv.org/content/10.1101/2021.03.02.21252766v1.full-text,https://www.newswise.com/coronavirus/rutgers-launches-covid-19-seroprevalence-study-in-essex-county,https://nj1015.com/study-of-nj-shoppers-suggests-covid-tests-reveal-half-the-spread/,,,,,,,
New York state,North America ,USA,SeroTracker,"advanced economy, non-representative sample (sampling shoppers)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7297691/,https://www.governor.ny.gov/news/amid-ongoing-covid-19-pandemic-governor-cuomo-announces-results-completed-antibody-testing,video from 7:56 to 10:31 : https://www.governor.ny.gov/news/governor-cuomo-announces-us-open-be-held-without-fans-august-31st-september-13th,http://archive.is/jrri5,,,,,,
New York state: an orthodox Jewish community,North America,USA,Google,"advanced economy, non-specified location",https://www.ajicjournal.org/article/S0196-6553(21)00549-6/fulltext,,,,,,,,,
"New York City (only returned samples, not self-reported samples)",North America ,USA,SeroTracker,advanced economy,https://academic.oup.com/jid/advance-article/doi/10.1093/infdis/jiab296/6292145,,,,,,,,,
Ohio,North America ,USA,Google,advanced economy,include all 39 seropositives in seroprevalence to address seroreversion: https://www.pnas.org/content/118/26/e2023947118,https://arxiv.org/abs/2011.09033,https://coronavirus.ohio.gov/static/dashboards/prevalence-covid19-ohioadults.pdf,https://u.osu.edu/ocap/,https://u.osu.edu/ocap/faqs/,,,,,
Rhode Island,North America ,USA,SeroTracker,advanced economy,https://ajph.aphapublications.org/doi/10.2105/AJPH.2020.306115  (  https://scholar.google.com/scholar?hl=en&as_sdt=0%2C36&q=%E2%80%9CAs+of+May+31%2C+Rhode+Island+had+reported+827+cumulative+lab-confirmed%E2%80%9D&btnG=  ),slide 6: https://ri-department-of-health-covid-19-response-demogr-a3f82-rihealth.hub.arcgis.com/,https://www.ri.gov/press/view/38594,https://twitter.com/RIHEALTH/status/1288119090859479042,https://twitter.com/RIHEALTH/status/1272134777785798657,,,,,
"Texas: Dallas, Tarrant Counties",North America ,USA,Google,advanced economy,email from study authors,https://s3-us-west-2.amazonaws.com/utsw-patientcare-web-production/documents/DFWCPS_Update_01.12.21_EN_1_Pager.pdf,https://utswmed.org/covidstudy/updates/,https://utswmed.org/covidstudy/,https://utswmed.org/prevalence-study/,https://dallascounty.civicweb.net/document/647753/DFW%20COVID-19%20Community%20Prevalence%20Study.pdf?handle=C3700473AA274792B9E7458073691F38,https://www.utsouthwestern.edu/newsroom/articles/year-2020/dfw-covid-prevalence-study.html,,,
Texas: Harris County,North America ,USA,SeroTracker,"advanced economy, insufficient information on assay",https://publichealth.harriscountytx.gov/Portals/27/Documents/HCPH%20Antibody%20Results%20NR.pdf?ver=ZkoB5qeX0P1G--8gfGH8fg%3d%3d,https://twitter.com/hcphtx/status/1327299711120928774,,"https://twitter.com/hcphtx  ,  https://covid-harriscounty.hub.arcgis.com/pages/cumulative-data",,,,,,
Texas: Houston,North America ,USA,SeroTracker,advanced economy,https://academic.oup.com/jid/advance-article/doi/10.1093/infdis/jiab203/6258999,https://kinder.rice.edu/houston-health-department-antibody-testing-survey,https://news.rice.edu/2020/12/14/antibody-study-suggests-covid-19-infections-underestimated/,http://www.houstontx.gov/health/NewsReleases/houstons-covid-19-infection-rate-could-be-four-times-higher.html,https://kinder.rice.edu/urbanedge/2020/09/17/Covid-19-antibody-testing-Houston-health,https://houstonemergency.org/covid-19-antibody-testing-survey/,,,,
"Utah: Cache County, Washington county, etc.",North America ,USA,Google,"advanced economy  (0 reported COVID-19 deaths in Cache, Washington, and Weber counties)","pages 6, 11, 12, 27 - 30: https://issuu.com/ecclesschool/docs/utah_hero_report_11.24.20_gardner_at_front",https://issuu.com/ecclesschool/docs/herosheet_nov2020_final,,,,,,,,
"Utah: Davis, Salt Lake, Summit, and Utah counties",North America ,USA,SeroTracker,advanced economy,https://wwwnc.cdc.gov/eid/article/27/11/20-4435_article,"pages 6, 14, 15, 19-23: https://issuu.com/ecclesschool/docs/utah_hero_report_11.24.20_gardner_at_front",https://www.medrxiv.org/content/10.1101/2020.10.26.20219907v1,https://www.youtube.com/watch?v=1MLVb26qfEI&t=1937 ,https://www.medrxiv.org/content/10.1101/2021.01.29.20248797v1.full-text,https://d30i16bbj53pdg.cloudfront.net/utah-hero/wp-content/uploads/2021/04/HERO-community-testing-report-Salt-Lake-County.pdf,https://www.aruplab.com/news/6-29-2020/Utah-hero-project,https://healthcare.utah.edu/publicaffairs/news/2020/07/utah-hero-project-phase-1.php,https://gomb.utah.gov/wp-content/uploads/2020/06/HERO-Project-Phase-One-Briefing.pdf,
Utah: Provo (in Utah County) + West Salt Lake region (phase 2) +  Salt Lake County (phase 3),North America ,USA,Google,advanced economy,from 8:37 to 10:14 :  https://eccles.utah.edu/utah-hero/,,,,,,,,,
Vermont (northwestern region),North America ,USA,SeroTracker,"advanced economy, non-representative sample (unclear those attending 1 healthcenter are representative of the general population)",https://publichealth.jmir.org/2021/1/e24320/,https://www.med.uvm.edu/com/news/2021/01/19/van_den_broek-altenburg_colleagues_report_that_without_messaging_masks_could_lead_to_more_covid-19_spread,,,,,,,,
Washington: King County (random sample only),North America ,USA,SeroTracker,advanced economy,https://www.kingcounty.gov/depts/health/covid-19/data/~/media/depts/health/communicable-diseases/documents/C19/serosurvey-summary-covid19.ashx,https://www.kingcounty.gov/depts/health/covid-19/data/~/media/depts/health/communicable-diseases/documents/C19/serosurvey-report-covid19.ashx,https://kingcounty.gov/depts/health/covid-19/seroprevalence.aspx,https://www.kingcounty.gov/depts/health/covid-19/seroprevalence-study.aspx,page 9: http://www.co.cowlitz.wa.us/DocumentCenter/View/20793/8122020-Cowlitz-County-COVID-update-to-Board-of-County-Commissioners,,,,,
Wisconsin,North America ,USA,SeroTracker,advanced economy,https://www.medrxiv.org/content/10.1101/2020.12.18.20248479v1,email from study authors,https://www.medrxiv.org/content/10.1101/2021.03.15.21253478v1.full-text,https://www.wisbusiness.com/2020/uw-health-statewide-study-suggests-about-1-6-of-the-state-had-covid-19-antibodies-in-july/,https://www.med.wisc.edu/news-and-events/2020/december/wisconsin-data-show-recent-covid-infection-surge/,https://www.dhs.wisconsin.gov/news/releases/061720.htm,,,,
national,Latin America,Puerto Rico,SeroTracker,advanced economy,https://sites.google.com/view/casperpr/an%C3%A1lisis-y-resultados,https://drive.google.com/file/d/1vMqtRtNIlFVhmqlL7Ti8_wrVhhLcy-oq/view,https://drive.google.com/file/d/1iFTgFlUMvKzWWsUCfLBSsGFmVhQn6spX/view,page 4: https://issuu.com/vocero.com/docs/v12262020,https://www.cienciapr.org/en/external-news/inicia-el-primer-estudio-de-seroprevalencia-del-covid-19-en-puerto-rico,https://www.facebook.com/PRPublicHealthTrust/videos/salud-p%C3%BAblica-al-mediod%C3%ADa-18-de-noviembre-de-2020/898964470649725/,,,,
Argentina: Buenos Aires city (Barrio Padre Mugica),Latin America,Argentina,SeroTracker,left out of analysis (seroprevalence-only sample with geographical overlap with another included study),https://www.medicinabuenosaires.com/revistas/vol81-21/destacado/original_7453.pdf,https://www.medrxiv.org/content/10.1101/2020.07.14.20153858v2,https://twitter.com/GamarnikLab/status/1284566709458948096,https://clinicaltrials.gov/ct2/show/NCT04472078,"2nd phase, re-testing only some people: https://www.medrxiv.org/content/10.1101/2021.03.05.21253010v1.full-text",,,,,
"Metropolitan Area of ​​Buenos Aires (AMBA), 40 municipalities",Latin America,Argentina,Google,left out of analysis (seroprevalence-only sample with geographical overlap with another included study),http://www.estadistica.ec.gba.gov.ar/dpe/images/INFORME_SEROPREVALENCIA.pdf,https://www.gba.gob.ar/hacienda_y_finanzas/noticias/la_provincia_comenz%C3%B3_realizar_un_estudio_de_seroprevalencia_de_covid_19,,,,,,,,
Chuquisaca,Latin America,Bolivia,Google,unclear if sample is representative,https://www.facebook.com/radioencuentrosucre/videos/seg%C3%BAn-estudio-de-prevalencia-del-covid-19-en-el-departamento-chuquisaca-esta-con/1075186426251521/,https://ar-ar.facebook.com/GADCH1/videos/1672282426287538/,https://correodelsur.com/local/20201022_en-chuquisaca-27-de-cada-100-personas-se-infectaron-de-covid-19.html,https://www.minsalud.gob.bo/4818-covid-19-estudio-de-seroprevalencia-se-realiza-en-12-municipios-de-chuquisaca,,,,,,
Potosí,Latin America,Bolivia,Google,unable to translate language,https://www.youtube.com/watch?v=YhrxQV026IE,https://www.facebook.com/521793244850336/videos/924582051379606/,https://ms-my.facebook.com/AzucenaFuertesPotosi/videos/webinar/4154134014657535/,,,,,,,
national,Latin America,Brazil,SeroTracker,Wondfo,https://iris.paho.org/bitstream/handle/10665.2/52948/v44e1352020.pdf?sequence=1&isAllowed=y,https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(20)30387-9/fulltext,,,,,,,,
Ceará: Fortaleza,Latin America,Brazil,SeroTracker,insufficient information on assay,https://www.fortaleza.ce.gov.br/images/COVID_INQU%C3%89RITO_19062020.pdf,https://www.cmfor.ce.gov.br/2020/06/22/covid-19-370-mil-pessoas-imunes-e-queda-do-numero-de-obitos-sao-divulgados-em-estudo-da-sms-e-sesa/,WONDFO assay likely used:  https://www.ceara.gov.br/2020/06/19/pesquisa-estima-que-370-mil-fortalezenses-ja-tem-anticorpos-contra-covid-19/,,,,,,,
Espírito Santo,Latin America,Brazil,SeroTracker,Wondfo (a.k.a. Celer),https://saude.es.gov.br/Inquerito_Sorologico,https://www.al.es.gov.br/appdata/anexos_internet/portal/conteudo/documentos/com_saude/2020/Resultados_inquerito_fase_2_etapa_1.3.8.pdf,https://saude.es.gov.br/Media/sesa/coronavirus/Inqu%C3%A9rito%20Sorol%C3%B3gico/SESA%20ASSCOM%20Fase%201%20Inquerito%20Sorologico.pptx,https://www.medrxiv.org/content/10.1101/2020.06.13.20130559v1,INQUÉRITO SOROLÓGICO on pages 21 - 24: https://saude.es.gov.br/Media/sesa/coronavirus/Boletins/Boletim%20Covid-19_06.pdf,https://saude.es.gov.br/Media/sesa/coronavirus/Notas%20T%C3%A9cnicas/NOTA%20TE%CC%81CNICA%20COVID.19%20N.%2043.20.%20Relat%C3%B3rio%20do%20inqu%C3%A9rito%20sorol%C3%B3gico%20do%20ES.pdf,INQUÉRITO SOROLÓGICO on pages 20 - 24: https://saude.es.gov.br/Media/sesa/coronavirus/Boletins/Boletim%20Covid-19_07.pdf,,,
Goiás: Anápolis,Latin America,Brazil,Google,Wondfo,http://www.anapolis.go.gov.br/portal/arquivos/files/Nota%20T%C3%A9cnica%20_%20preliminar%20_%20Inqu%C3%A9rito%20Epidemiol%C3%B3gico%20-%20COVID%20-15%20%2006.pdf,,,,,,,,,
Goiás: Goiânia,Latin America,Brazil,SeroTracker,insufficient information on assay,correct numbering of phases: https://www.youtube.com/watch?v=Cy0Y9q802DM&t=2858s,https://www.goiania.go.gov.br/inquerito-aponta-que-1-das-pessoas-ja-tiveram-covid-19-em-goiania/,WONDFO: https://ar-ar.facebook.com/prefeitura.goiania/videos/259453655240449/,,,,,,,
Goiás: Quirinópolis,Latin America,Brazil,Google,non-representative sample; failed to reach ≥35% of sample reporting as male,https://ohirjournal.com/article/view/4206,http://www.ueg.br/noticia/55281,,,,,,,,
Minas Gerais: Betim,Latin America,Brazil,Google,Wondfo,https://www.medrxiv.org/content/10.1101/2021.10.21.21265140v1.full-text,,,,,,,,,
Minas Gerais: Mariana + Ouro Preto,Latin America,Brazil,Google,Wondfo,https://preprints.scielo.org/index.php/scielo/preprint/view/2720,,,,,,,,,
Pará,Latin America,Brazil,Google,insufficient information on assay,https://agenciapara.com.br/noticia/21191/,WONDFO:  https://agenciapara.com.br/noticia/20623/,https://g1.globo.com/pa/para/noticia/2020/07/31/pesquisa-epidemiologica-aponta-que-mais-de-21percent-da-populacao-em-52-municipios-paraenses-ja-foi-infectada-com-coronavirus.ghtml,,,,,,,
Paraíba,Latin America,Brazil,Google,insufficient information on assay,https://paraiba.pb.gov.br/noticias/relatorio-final-do-inquerito-sorologico-aponta-que-10-da-populacao-ja-teve-contato-com-o-coronavirus,https://paraiba.pb.gov.br/noticias/continuar-cuidando-relatorio-preliminar-aponta-que-9-3-dos-paraibanos-ja-foram-infectados-pelo-coronavirus,https://paraiba.pb.gov.br/noticias/secretaria-de-saude-inicia-inquerito-sorologico-em-130-cidades-da-paraiba,https://paraiba.pb.gov.br/noticias/continuar-cuidando-pesquisa-inicia-coletas-da-ultima-semana-de-inquerito-nesta-sexta-feira,WONDFO assay likely used:  https://paraiba.pb.gov.br/noticias/governo-distribui-mais-45-2-mil-testes-para-todos-os-municipios-paraibanos,possible antibody test:  https://paraiba.pb.gov.br/noticias/paraiba-comeca-a-realizar-testes-rapidos-na-populacao-na-sexta-feira,João Pessoa trial phase: https://www.joaopessoa.pb.gov.br/?s=soropreval%C3%AAncia,,,
Pernambuco: Fernando de Noronha,Latin America,Brazil,SeroTracker,Wondfo,https://www.medrxiv.org/content/10.1101/2020.10.22.20216010v1.full-text,https://www2.camara.leg.br/atividade-legislativa/comissoes/comissoes-temporarias/externas/56a-legislatura/enfrentamento-pandemia-covid-19/apresentacoes-em-eventos/PauloGoesUFPE.pdf/view,from 49:04 - 1:03:44 : https://www.youtube.com/watch?t=3&v=UXKsj5H1lCg,,,,,,,
Piauí,Latin America,Brazil,Google,Wondfo,https://www.pi.gov.br/wp-content/uploads/2020/07/9_ONDA_APR_COV_PDF.pdf,https://www.pi.gov.br/noticias/taxa-de-transmissibilidade-do-coronavirus-cai-de-087-para-074-no-piaui/,https://www.pi.gov.br/wp-content/uploads/2020/07/Inqu%C3%A9rito-Soroepidemiol%C3%B3gico-30-06.pdf,,,,,,,
Piauí: Bom Jesus,Latin America,Brazil,SeroTracker,insufficient information on assay,https://portalpontox.com/wp-content/uploads/2020/06/PESQUISA-BOM-JESUS-COVID-24a26-06.2020.pdf,https://www.portalb1.com/envios/2020/07/15/2db206b57a36aa563e258f1b168bf7fe53aee302.pdf,https://docplayer.com.br/amp/190049367-Pesquisa-sobre-status-sorologico-da-populacao-quanto-a-infeccao-por-sars-cov-2-em-situacao-de-pandemia-tabelas-graficos.html,,,,,,,
Piauí: Teresina municipality,Latin America,Brazil,SeroTracker,Wondfo,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7341829/,,,,,,,,,
Rio de Janeiro state: Rio de Janeiro city (multiple regions of the city),Latin America,Brazil,Google,insufficient information on assay,https://prefeitura.rio/saude/prefeitura-divulga-resultado-da-primeira-etapa-de-pesquisa-sobre-covid-19-em-comunidades-cariocas/,https://www.arcgis.com/home/webmap/viewer.html?webmap=85865c2d8bdf423d946f026e634d7155,https://prefeitura.rio/rio-faz/prefeitura-do-rio-inicia-quarta-etapa-da-testagem-para-covid-19-em-comunidades-cariocas/,possible assay used:  https://prefeitura.rio/cidade/coronavirus-veja-as-medidas-adotadas-pela-prefeitura-do-rio-de-janeiro-nesta-sexta-feira-28-08-contra-a-pandemia/,possible assay used:  https://prefeitura.rio/cidade/prefeitura-do-rio-inicia-a-terceira-etapa-do-teste-rapido-para-covid-19-em-comunidades/,,,,,
Rio Grande do Sul: Lajeado,Latin America,Brazil,SeroTracker,Wondfo,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7493765/,,,,,,,,,
Rio Grande do Sul: Vale do Rio Pardo region (14 cities),Latin America,Brazil,Google,no IFR due to no death information for some cities and/or double-counting of those positive for both IgG and IgM; full 14 cities left out of analysis (seroprevalence-only sample with geographical overlap with another included study),https://iris.paho.org/handle/10665.2/55178,https://geosaudevrp.org/mapas-e-infograficos/infograficos-covid-vrp/,https://geosaudevrp.org/covidvrp/covid-vrp-pesquisa/,http://cisvalerp.com.br/wp-content/uploads/2020/07/Projeto_COVID_Cisvale_UNISC_2020_FINAL.pdf,,,,,,
Santa Catarina: Chapecó,Latin America,Brazil,Google,Wondfo,https://rsdjournal.org/index.php/rsd/article/view/17996/16175,,,,,,,,,
Santa Catarina: Joinville,Latin America,Brazil,SeroTracker,Wondfo (a.k.a. Celer),https://www.medrxiv.org/content/10.1101/2021.02.08.21251009v1.full,,,,,,,,,
São Paulo state: Atibaia,Latin America,Brazil,Google,insufficient information on assay,http://www.prefeituradeatibaia.com.br/noticia/saude-visita-residencias-estudo-covid/,http://www.prefeituradeatibaia.com.br/noticia/segunda-etapa-estudo-covid/,,,,,,,,
